PLAYER,TOTAL_SCORE,CHEST_COUNT,Arachne's Swarm Epic squad,Arena,Clan wealth,Epic Ancient squad,Epic Chimera squad,Epic Inferno squad,Level 10 Citadel,Level 10 Crypt,Level 10 rare Crypt,Level 15 Citadel,Level 15 Crypt,Level 15 epic Crypt,Level 15 rare Crypt,Level 16 heroic Monster,Level 17 heroic Monster,Level 18 heroic Monster,Level 19 heroic Monster,Level 20 Citadel,Level 20 Crypt,Level 20 epic Crypt,Level 20 heroic Monster,Level 20 rare Crypt,Level 21 heroic Monster,Level 22 heroic Monster,Level 23 heroic Monster,Level 24 heroic Monster,Level 25 Citadel,Level 25 Crypt,Level 25 epic Crypt,Level 25 heroic Monster,Level 25 rare Crypt,Level 25-29 Vault of the Ancient,Level 26 heroic Monster,Level 27 heroic Monster,Level 28 heroic Monster,Level 29 heroic Monster,Level 30 Citadel,Level 30 epic Crypt,Level 30 rare Crypt,Level 30-34 Vault of the Ancient,Level 31 heroic Monster,Level 32 heroic Monster,Level 33 heroic Monster,Level 34 heroic Monster,Level 35 epic Crypt,Level 35 heroic Monster,Level 35-39 Vault of the Ancient,Level 36 heroic Monster,Level 37 heroic Monster,Level 38 heroic Monster,Level 39 heroic Monster,Level 40 heroic Monster,Level 40-44 Vault of the Ancient,Level 41 heroic Monster,Level 43 heroic Monster,Level 45 Vault of the Ancients,Level 45 heroic Monster,Level 5 Crypt,Mercenary Exchange,Mimic Chest,Rise of the Ancients event,Union of Triumph personal rew,Union of Triumph personal rew:
Schwabe,2050,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,1575,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drachen1,2050,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,1000,150,0,450,0,0,0,0,0,0,90,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sir Ruad,1825,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nobs,1765,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,25,300,900,0,300,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bofur,1695,54,0,0,0,0,0,0,0,0,0,0,0,90,60,0,0,0,0,40,140,360,0,200,0,0,0,0,400,75,150,0,150,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mo Alking,1500,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,180,0,0,0,0,0,0,0,225,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darkhammer,1450,70,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,825,0,0,50,0,0,0,0,0,0,180,240,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snowweaver,1325,65,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,600,600,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engelchen,1310,33,0,0,0,0,0,0,0,10,0,15,15,45,0,0,0,0,0,20,220,960,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darksion500,1100,44,0,0,0,0,0,0,0,30,0,0,15,630,0,0,0,0,0,20,40,300,0,40,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordaginn,1015,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,75,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darloting,855,29,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,280,120,0,0,0,0,0,0,0,175,150,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pizzzzzzaaaa und,825,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexa Elly,780,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meg,675,67,0,0,0,0,0,0,0,10,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maverick,350,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montelino,300,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Murmeltiger,250,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obelix,235,7,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,60,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montfalcon little,140,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D4rkBlizZ4rD,105,7,0,0,0,0,0,0,0,10,0,0,75,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parmesan Hawaiiiilili,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parmesan Hawaiiilili,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Truhenzahler,45,3,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
