PLAYER,TOTAL_SCORE,CHEST_COUNT,Arena,Authority Rush tournament,Clan wealth,Clash for the Throne tournamer,Epic Ancient squad,Epic Undead squad,Jormungandr Shop,Level 10 Citadel,Level 10 Crypt,Level 10 rare Crypt,Level 15 Citadel,Level 15 Crypt,Level 15 epic Crypt,Level 15 rare Crypt,Level 16 heroic Monster,Level 20 Citadel,Level 20 Crypt,Level 20 epic Crypt,Level 20 heroic Monster,Level 20 rare Crypt,Level 20-24 Vault of the Ancient,Level 25 Citadel,Level 25 Crypt,Level 25 epic Crypt,Level 25 rare Crypt,Level 25-29 Vault of the Ancient,Level 30 Citadel,Level 30 epic Crypt,Level 30 rare Crypt,Level 30-34 Vault of the Ancient,Level 32 heroic Monster,Level 35 epic Crypt,Level 35-39 Vault of the Ancient,Level 40 heroic Monster,Level 40-44 Vault of the Ancient,Level 41 heroic Monster,Level 42 heroic Monster,Level 43 heroic Monster,Level 44 heroic Monster,Level 45 Vault of the Ancients,Level 45 heroic Monster,Level 5 Crypt,Mercenary Exchange,Mimic Chest,Rise of the Ancients event,Shadow City,Union of Triumph personal rew,Union of Triumph personal rew.,Union of Triumph personal rew:
Megninad,30750,840,0,0,0,0,0,0,0,0,130,0,150,240,0,0,0,180,120,0,0,0,0,750,12400,0,0,0,260,0,1980,0,0,14550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kajurus,25200,530,0,0,0,0,0,0,0,0,0,0,15,0,0,30,0,0,0,60,0,0,0,0,3200,12700,4400,0,1050,90,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragorn,8700,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3400,2650,2000,0,60,0,350,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippe 2,8700,300,0,0,0,0,0,0,0,0,40,0,375,15,765,150,0,2000,440,1580,0,1330,0,75,1130,75,400,0,0,270,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bumblebee,6550,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1615,0,0,0,0,250,2050,0,0,1010,0,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strategus,5900,203,0,0,0,0,0,0,0,0,60,0,90,105,225,90,0,340,640,1315,0,670,0,375,1365,225,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tugo,5430,210,0,0,0,0,0,0,0,0,0,0,0,0,1240,0,0,0,2960,1070,0,0,0,0,25,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Court Jester Herzi,5300,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,3785,600,100,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angus,5000,126,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,2015,0,0,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUARDIENoffHUNDER,4900,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550,0,1530,0,30,0,1790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisea,4900,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,100,3100,0,80,0,100,1310,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
